               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.055234,            0.014378,            0.012937,             0.74758,             0.90543,              0.9017,              0.2434,            0.049328,           0.0071337,           0.0069784,           0.0089902,           0.0089902,           0.0089902
                  53,            0.045641,            0.014598,            0.013209,             0.75427,             0.87697,             0.94537,             0.43099,            0.037616,           0.0070576,           0.0073939,           0.0089704,           0.0089704,           0.0089704
                  54,             0.04858,            0.013131,            0.017511,              0.5898,               0.825,             0.65177,             0.39798,            0.044788,            0.007078,            0.014777,           0.0089506,           0.0089506,           0.0089506
                  55,            0.058392,            0.014832,              0.0149,             0.62637,             0.77967,             0.82899,             0.36106,            0.044007,           0.0067736,            0.020546,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050059,            0.012326,            0.016939,             0.62637,             0.77967,             0.82899,             0.36106,            0.044007,           0.0067736,            0.020546,            0.008911,            0.008911,            0.008911
                  57,            0.046408,            0.011966,            0.012908,             0.61074,              0.8961,             0.94088,             0.56577,            0.030146,           0.0066253,            0.020055,           0.0088912,           0.0088912,           0.0088912
                  58,            0.049289,            0.013182,            0.012456,             0.55053,                0.75,             0.60518,             0.27121,            0.043884,           0.0067847,            0.015573,           0.0088714,           0.0088714,           0.0088714
                  59,            0.056222,            0.012484,            0.011643,             0.77041,             0.65229,             0.86063,              0.4303,            0.032181,           0.0063191,           0.0099933,           0.0088516,           0.0088516,           0.0088516
                  60,            0.045682,            0.012491,            0.014685,             0.77041,             0.65229,             0.86063,              0.4303,            0.032181,           0.0063191,           0.0099933,           0.0088318,           0.0088318,           0.0088318
                  61,            0.044032,            0.011897,            0.011487,             0.62642,               0.775,             0.86664,             0.47494,            0.029569,           0.0060745,             0.01232,            0.008812,            0.008812,            0.008812
                  62,            0.048147,            0.010702,            0.015029,             0.62153,                0.75,             0.79252,             0.40705,            0.041905,           0.0058062,            0.013938,           0.0087922,           0.0087922,           0.0087922
                  63,            0.046825,            0.010623,            0.013204,             0.68273,             0.87821,             0.83806,             0.29585,            0.040142,           0.0056293,           0.0064487,           0.0087724,           0.0087724,           0.0087724
                  64,            0.050663,            0.011269,            0.012879,             0.68273,             0.87821,             0.83806,             0.29585,            0.040142,           0.0056293,           0.0064487,           0.0087526,           0.0087526,           0.0087526
                  65,            0.042597,            0.011924,            0.011328,             0.75752,             0.89474,             0.90656,             0.41331,            0.034067,           0.0053957,           0.0055387,           0.0087328,           0.0087328,           0.0087328
                  66,             0.04455,            0.012859,            0.013349,             0.51775,             0.76316,             0.74675,             0.48152,            0.041738,            0.005625,           0.0054921,            0.008713,            0.008713,            0.008713
                  67,            0.054812,            0.010459,            0.013294,             0.50101,             0.89474,             0.80975,             0.31651,             0.04055,           0.0054626,           0.0058848,           0.0086932,           0.0086932,           0.0086932
                  68,            0.052369,            0.010536,            0.010761,             0.50101,             0.89474,             0.80975,             0.31651,             0.04055,           0.0054626,           0.0058848,           0.0086734,           0.0086734,           0.0086734
                  69,            0.042975,            0.013058,            0.010878,             0.85489,             0.89474,             0.91754,              0.5066,            0.030393,           0.0052842,           0.0057947,           0.0086536,           0.0086536,           0.0086536
                  70,            0.041033,            0.013391,            0.013523,             0.63297,             0.91636,             0.81732,             0.55249,            0.037915,           0.0057944,           0.0054319,           0.0086338,           0.0086338,           0.0086338
                  71,             0.04633,            0.011015,            0.014653,             0.89833,             0.97368,                0.98,             0.51614,            0.033425,           0.0054153,           0.0048967,            0.008614,            0.008614,            0.008614
                  72,            0.046719,            0.011544,            0.012102,             0.89833,             0.97368,                0.98,             0.51614,            0.033425,           0.0054153,           0.0048967,           0.0085942,           0.0085942,           0.0085942
                  73,             0.04472,            0.012147,            0.008475,             0.64154,             0.97368,             0.81989,             0.48422,            0.033508,           0.0055364,           0.0046514,           0.0085744,           0.0085744,           0.0085744
                  74,            0.046753,            0.012464,            0.013717,               0.744,             0.87216,             0.85062,             0.39472,            0.041949,           0.0056345,           0.0051139,           0.0085546,           0.0085546,           0.0085546
                  75,            0.046991,            0.010342,            0.012995,             0.87153,             0.93194,             0.95293,             0.61679,            0.040855,           0.0054333,           0.0046427,           0.0085348,           0.0085348,           0.0085348
                  76,            0.048069,            0.009947,           0.0084359,             0.87153,             0.93194,             0.95293,             0.61679,            0.040855,           0.0054333,           0.0046427,            0.008515,            0.008515,            0.008515
                  77,            0.042452,            0.011158,           0.0099356,              0.8433,             0.89474,             0.94103,             0.70741,            0.030473,           0.0049447,           0.0050952,           0.0084952,           0.0084952,           0.0084952
                  78,            0.040184,            0.011768,            0.011914,             0.81608,             0.76316,             0.88299,             0.40008,            0.040141,           0.0054885,           0.0052995,           0.0084754,           0.0084754,           0.0084754
                  79,            0.047894,            0.012228,            0.011558,             0.68319,             0.94737,             0.95541,             0.59286,            0.031271,           0.0053644,           0.0052475,           0.0084556,           0.0084556,           0.0084556
                  80,             0.04239,            0.011349,            0.013476,             0.68319,             0.94737,             0.95541,             0.59286,            0.031271,           0.0053644,           0.0052475,           0.0084358,           0.0084358,           0.0084358
                  81,            0.041343,           0.0099129,            0.012574,             0.93473,             0.93393,             0.95189,             0.58485,            0.032054,           0.0054599,           0.0054149,            0.008416,            0.008416,            0.008416
                  82,            0.039559,             0.01011,            0.014907,              0.5314,             0.89474,             0.85703,             0.59909,            0.037535,           0.0054476,           0.0052182,           0.0083962,           0.0083962,           0.0083962
                  83,            0.045235,            0.010036,            0.011335,             0.91878,             0.94737,              0.9677,             0.68515,            0.026065,           0.0048724,           0.0049149,           0.0083764,           0.0083764,           0.0083764
                  84,            0.036361,           0.0091596,            0.014403,             0.91878,             0.94737,              0.9677,             0.68515,            0.026065,           0.0048724,           0.0049149,           0.0083566,           0.0083566,           0.0083566
                  85,            0.036128,            0.011717,            0.010125,             0.91627,             0.95361,             0.96777,             0.62259,            0.025852,           0.0051095,           0.0050089,           0.0083368,           0.0083368,           0.0083368
                  86,            0.040246,            0.011307,            0.012302,             0.61273,             0.89474,             0.91943,             0.57894,            0.035289,           0.0053869,           0.0045059,            0.008317,            0.008317,            0.008317
                  87,            0.047613,            0.010496,           0.0077098,             0.86642,             0.97368,             0.95261,             0.47348,            0.028097,           0.0049694,           0.0043802,           0.0082972,           0.0082972,           0.0082972
                  88,            0.042491,           0.0098757,            0.016045,             0.86642,             0.97368,             0.95261,             0.47348,            0.028097,           0.0049694,           0.0043802,           0.0082774,           0.0082774,           0.0082774
                  89,            0.036988,            0.012446,            0.013054,             0.83031,             0.97368,             0.95851,             0.64273,            0.023339,           0.0048099,           0.0045255,           0.0082576,           0.0082576,           0.0082576
                  90,            0.038896,            0.010427,            0.011531,             0.82507,             0.94868,             0.88777,             0.54307,            0.028842,            0.004976,           0.0044805,           0.0082378,           0.0082378,           0.0082378
                  91,             0.04656,            0.010099,            0.013646,             0.81738,             0.97368,             0.94943,              0.6415,            0.023325,           0.0046781,            0.004405,            0.008218,            0.008218,            0.008218
                  92,            0.034449,            0.010624,           0.0083156,             0.81738,             0.97368,             0.94943,              0.6415,            0.023325,           0.0046781,            0.004405,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033596,            0.011672,            0.013874,             0.96505,             0.97368,              0.9864,             0.69569,            0.020952,           0.0046057,           0.0043101,           0.0081784,           0.0081784,           0.0081784
                  94,            0.040214,            0.011795,            0.010991,             0.84768,             0.91792,             0.89948,             0.56559,            0.036737,           0.0049722,           0.0043285,           0.0081586,           0.0081586,           0.0081586
                  95,            0.045186,            0.010346,           0.0085597,             0.82141,             0.81711,             0.91046,             0.60719,            0.024932,           0.0048079,           0.0044086,           0.0081388,           0.0081388,           0.0081388
                  96,            0.044959,            0.010055,            0.012751,             0.82141,             0.81711,             0.91046,             0.60719,            0.024932,           0.0048079,           0.0044086,            0.008119,            0.008119,            0.008119
                  97,            0.037865,           0.0098415,            0.006656,             0.87952,             0.99455,             0.95653,             0.74621,            0.021987,           0.0046181,           0.0044533,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037346,           0.0098962,           0.0069319,             0.95912,             0.90999,             0.97501,              0.5145,            0.032711,           0.0048027,           0.0046936,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045231,            0.010553,            0.007874,             0.89763,             0.94372,             0.96339,             0.77575,            0.023193,           0.0046058,           0.0046478,           0.0080596,           0.0080596,           0.0080596
                 100,            0.038082,            0.010446,           0.0095141,             0.89763,             0.94372,             0.96339,             0.77575,            0.023193,           0.0046058,           0.0046478,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032084,           0.0089434,           0.0081507,              0.9722,              0.9818,              0.9925,             0.77765,            0.018647,           0.0045089,           0.0048826,             0.00802,             0.00802,             0.00802
                 102,            0.032691,            0.009851,            0.011986,               0.885,             0.91534,             0.95476,             0.80517,            0.024592,           0.0045538,           0.0040517,           0.0080002,           0.0080002,           0.0080002
                 103,            0.034916,            0.010624,           0.0096866,             0.97854,             0.97368,             0.98188,             0.65658,            0.025776,           0.0047077,           0.0042431,           0.0079804,           0.0079804,           0.0079804
                 104,             0.03864,           0.0094948,           0.0069721,             0.97854,             0.97368,             0.98188,             0.65658,            0.025776,           0.0047077,           0.0042431,           0.0079606,           0.0079606,           0.0079606
